Title,Price,Location,Detail Link
4 family wholesale deal,835000,Ridgewood queens,https://newyorkcraigslistorg/que/reb/d/ridgewood-family-wholesale-deal/7760726155html
OPEN HOUSE,895000,Marine Park,https://newyorkcraigslistorg/brk/reb/d/brooklyn-open-house/7760731857html
Location Location Location Attention Investors 6 Unit Building,1270000,STATEN ISLAND,https://newyorkcraigslistorg/stn/reb/d/staten-island-location-location/7757404671html
Well-Maintained home Perfect for 1st time buyers Nice-sized bedrooms,549900,STATEN ISLAND,https://newyorkcraigslistorg/stn/reb/d/staten-island-well-maintained-home/7757405795html
2 Family Brownstone VACANT,1400,Gates Avenue Brooklyn,https://newyorkcraigslistorg/brk/reb/d/brooklyn-family-brownstone-vacant/7760726871html
Luxury Large 1BED Lease Break for a New 12 MONTH LEASE West 18th/7th,4550,Chelsea,https://newyorkcraigslistorg/mnh/reo/d/new-york-luxury-large-1bed-lease-break/7753924259html
PRICED RIGHT Great starter home for 1st time homeowner needs tlc,499900,Staten Island,https://newyorkcraigslistorg/stn/reb/d/staten-island-priced-right-great/7758682818html
LOT,125000,Shakespeare Ave,https://newyorkcraigslistorg/brx/reb/d/bronx-lot/7760725273html
Large Bklyn 1 Bed- w/d in Unit,3245,downtown brooklyn,https://newyorkcraigslistorg/brk/reo/d/brooklyn-large-bklyn-bed-d-in-unit/7760723053html
INVESTORS - PRICE DROP - Newly Renovated Suburban Single Family,299000,long island,https://newyorkcraigslistorg/lgi/reo/d/baltimore-investors-price-drop-newly/7753816309html
Outstanding 2 East Village 2 Bed w/ Priv Balcony,4795,East Village,https://newyorkcraigslistorg/mnh/reo/d/outstanding-east-village-bed-priv/7760722888html
No Fee 2 Bed/2 Bath w/ Private Balcony,4129,Harlem / Morningside,https://newyorkcraigslistorg/mnh/reo/d/new-york-no-fee-bed-bath-private-balcony/7760722749html
Beautiful and Spacious 2 Bed/2 Bath,5250,Harlem / Morningside,https://newyorkcraigslistorg/mnh/reo/d/new-york-beautiful-and-spacious-bed-bath/7760722644html
Detached 1 family set up as a 3 family,785000,Kingsbridge Terrace,https://newyorkcraigslistorg/brx/reb/d/bronx-detached-family-set-up-as-3-family/7760712889html
Charming light filled brooklyn art studio for rent,810,williamsburg,https://newyorkcraigslistorg/brk/reo/d/brooklyn-charming-light-filled-brooklyn/7760711118html
Huge Full Building Opportunity In Tribeca For Sale,25000000,New York,https://newyorkcraigslistorg/mnh/reb/d/new-york-huge-full-building-opportunity/7756778402html
Full Vacant Building Opportunity For Sale In Tribeca,200,New York,https://newyorkcraigslistorg/mnh/reb/d/new-york-full-vacant-building/7753856231html
Commerical Retail Store Front,16,Windsor,https://newyorkcraigslistorg/fct/reo/d/windsor-commerical-retail-store-front/7760705336html
Huge 1 Bedroom Great Location,2050,Bronx,https://newyorkcraigslistorg/brx/reb/d/bronx-huge-bedroom-great-location/7760703828html
Move to the gulf coast of Florida,579000,Venice Florida,https://newyorkcraigslistorg/mnh/reo/d/venice-move-to-the-gulf-coast-of/7757938152html
2 very Large Bedrooms 1 bathroom,2200,Fresh Meadows,https://newyorkcraigslistorg/que/reo/d/forest-hills-very-large-bedrooms/7760702110html
Great share -two bedrooms in East Harlem E 117/ Lexington avenue,2700,East Harlem,https://newyorkcraigslistorg/mnh/reb/d/new-york-great-share-two-bedrooms-in/7759526082html
Huge 1 Bedroom near Glenwood Metro-North,1650,Yonkers,https://newyorkcraigslistorg/wch/reb/d/yonkers-huge-bedroom-near-glenwood/7760701154html
BRAND NEW PRIME BROADWAY UWS RESTAURANT OPPORTUNITY,17000,Upper West Side,https://newyorkcraigslistorg/mnh/reb/d/new-york-brand-new-prime-broadway-uws/7759867862html
NEW - FAMOUS UPPER WEST SIDE RESTAURANT NOW AVAILABLE,17000,Upper West Side,https://newyorkcraigslistorg/mnh/reb/d/new-york-new-famous-upper-west-side/7759867482html
NEW PRIME VENTED EAST VILLAGE RETAIL/RESTAURANT FOR LEASE,15000,East Village,https://newyorkcraigslistorg/mnh/reb/d/new-york-new-prime-vented-east-village/7759867908html
NEW GREENPOINT RETAIL SPACE FOR RENT,5000,brooklyn,https://newyorkcraigslistorg/brk/reb/d/brooklyn-new-greenpoint-retail-space/7759867987html
CORNER RETAIL FOR RENT NEW QUEENS DEVEOPMENT,8700,queens,https://newyorkcraigslistorg/que/reb/d/ridgewood-corner-retail-for-rent-new/7759872220html
NEW SOHO RETAIL SPACE AVAILABLE,41875,SoHo,https://newyorkcraigslistorg/mnh/reb/d/new-york-new-soho-retail-space-available/7759871913html
NEW TO MARKET UPPER WEST SIDE FULLY VENTED RESTAURANT FOR,17000,Upper West Side,https://newyorkcraigslistorg/mnh/reb/d/new-york-new-to-market-upper-west-side/7759873446html
